Aggregate (Gravel or Crushed Rock),Kilogram,0.083,0.12,0.01,0.50,0.0048,0.0052,,,Estimated from measured UK industrial fuel consumption data,
Aluminium,Kilogram,155,104.7,8.0,382.7,8.24,9.16,,,"Assumed  ratio of 25.6% extrusions, 55.7% Rolled & 18.7% castings. Worldwide average recycled content of 33%.",
Virgin Aluminium,Kilogram,218,68.5,39.2,382.7,11.46,12.79,,,,
Recycled Aluminium,Kilogram,29.0,8.7,8.0,42.9,1.69,1.81,,,,
Cast Aluminium,Kilogram,159,,,,8.28,9.22,,,Worldwide average recycled content of 33%.,
Virgin Cast Aluminium,Kilogram,226,,,,11.70,13.10,,,,
Recycled Cast Aluminium,Kilogram,25.0,,,,1.35,1.45,,,,
Extruded Aluminium,Kilogram,154,,,,8.16,9.08,,,Worldwide average recycled content of 33%.,
Virgin Extruded Aluminium,Kilogram,214,,,,11.20,12.50,,,,
Recycled Extruded Aluminium,Kilogram,34.0,,,,1.98,2.12,,,,
Rolled Aluminium,Kilogram,155,,,,8.26,9.18,,,Worldwide average recycled content of 33%.,
Virgin Rolled Aluminium,Kilogram,217,,,,11.50,12.80,,,,
Recycled Rolled Aluminium,Kilogram,28,,,,1.67,1.79,,,,
"Asphalt, 4% (bitumen) binder content (by mass)",Kilogram,2.86,11.89,0.20,50.20,0.059,0.066,,,1.68 MJ/kg Feedstock Energy (Included). Modelled from the bitumen binder content. The fuel consumption of asphalt mixing operations was taken from the Mineral Products Association (MPA). It represents typical UK industrial data. Feedstock energy is from the bitumen content. ,
"Asphalt, 5% binder content",Kilogram,3.39,,,,0.064,0.071,,,2.10 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,
"Asphalt, 6% binder content",Kilogram,3.93,,,,0.068,0.076,,,2.52 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,
"Asphalt, 7% binder content",Kilogram,4.46,,,,0.072,0.081,,,2.94 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,
"Asphalt, 8% binder content",Kilogram,5.00,,,,0.076,0.086,,,3.36 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,
Bitumen,Kilogram,51,20.21,2.40,50.00,0.405,0.49,0.43,0.55,"42 MJ/kg Feedstock Energy  (Included).  Feedstock assumed to be typical energy content of Bitumen. Carbon dioxide emissions are particularly difficult to estimate, range given.",
Brass,Kilogram,44.00,71.87,16.81,239.00,2.46,2.64,,,"Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data, making estimate of embodied carbon difficult.",
Virgin Brass,Kilogram,80.00,16.81,16.81,,4.47,4.80,,,,
Recycled Brass,Kilogram,20.00,20.00,20.00,,1.12,1.20,,,,
Common Brick,Kilogram,3.00,,,,0.23,0.24,,,,
Limestone ,Kilogram,0.85,,,,,,,,,
Bronze,Kilogram,69.00,10.37,62.00,76.67,3.73,4.00,,,Average of the only two references,
General Carpet,Kilogram,74.00,,,,3.90,,,,"For per square meter estimates see material profile. Difficult to estimate, taken from Reference.",94
General Carpet,Kilogram,90.98,62.07,3,390,,,,,,
General Carpet,qudt:SquareMeter,187.00,,,,9.80,,,,"For per square meter estimates see material profile. Difficult to estimate, taken from Reference.",94
Felt (Hair and Jute) Underlay Carpet,Kilogram,19.00,,,,0.97,,,,Ref. 94.,
"Nylon (Polyamide), pile weight 300 g/m2 Carpet",qudt:SquareMeter,130.00,,,,,,,6.70,"Total weight of this carpet 1,477 g/m2. These carpets (inc. below) are a tufted surface pile made of 100% nylon (polyamide) with a woven textile backing and flame proofed on the basis of aluminium hydroxide.",277-279
"Nylon (Polyamide), pile weight 500 g/m2 Carpet",qudt:SquareMeter,180.00,,,,,,,9.70,"Total weight of this carpet 1,837 g/m2. ",
"Nylon (Polyamide), pile weight 700 g/m2 Carpet",qudt:SquareMeter,230.00,,,,,,,12.70,"Total weight of this carpet 2,147 g/m2. ",
"Nylon (Polyamide), pile weight 900 g/m2 Carpet",qudt:SquareMeter,277.00,,,,,,,15.60,"Total weight of this carpet 2,427 g/m2. ",
"Nylon (Polyamide), pile weight 1100 g/m2 Carpet",qudt:SquareMeter,327.00,,,,,,,18.40,"Total weight of this carpet 2,677 g/m2. ",
"Carpet tiles, nylon (Polyamide), pile weight 300 g/m2",qudt:SquareMeter,178.00,,,,,,,7.75,"Total weight of this carpet 4,123 g/m2. These carpet tiles are a tufted surface pile made of 100% nylon (polyamide) fleece-covered bitumen backing and flame-proofed on the basis of aluminium hydroxide",
"Carpet tiles, nylon (Polyamide), pile weight 500 g/m2",qudt:SquareMeter,229.00,,,,,,,10.70,"Total weight of this carpet 4,373 g/m2.",
"Carpet tiles, nylon (Polyamide), pile weight 700 g/m2",qudt:SquareMeter,279.00,,,,,,,13.70,"Total weight of this carpet 4,623 g/m2.",
"Carpet tiles, nylon (Polyamide), pile weight 900 g/m2",qudt:SquareMeter,328.00,,,,,,,16.70,"Total weight of this carpet 4,873 g/m2.",
"Carpet tiles, nylon (Polyamide), pile weight 1100 g/m2",qudt:SquareMeter,378.00,,,,,,,19.70,"Total weight of this carpet 5,123 g/m2. ",
Polyethylterepthalate (PET),qudt:SquareMeter,106.50,,,,5.56,,,,Includes feedstock energy,
Polypropylene,qudt:SquareMeter,95.40,,,,4.98,,,,"Includes feedstock energy, for per square meter see material profile",
Polyurethane,qudt:SquareMeter,72.10,,,,3.76,,,,Includes feedstock energy,
Rubber,qudt:SquareMeter,103.75,,67.50,140.00,5.55,,,,,
Saturated Felt Underlay (impregnated with Asphalt or tar),qudt:SquareMeter,31.70,,,,1.65,,,,,
Wool ,qudt:SquareMeter,106.00,,,,5.53,,,,For per square meter see material profile. ,
Cement (UK weighted average),Kilogram,4.5,2.70,0.10,14.20,0.73,0.74,,,"Weighted average of all cement consumed within the UK. This includes all factory made cements (CEM I, CEM II, CEM III, CEM IV) and further blending of fly ash and ground granulated blast furnace slag. This data has been estimated from the British Cement Association's factsheets. 23% cementitious additions on average.",
"Cement - Average CEM I Portland Cement, 94% Clinker",Kilogram,5.50,,,,0.93,0.95,,,"This is a standard cement with no cementitious additions (i.e. fly ash or blast furnace slag). Composition 94% clinker, 5% gypsum, 1% minor additional constituents (mac's). This data has been estimated from the British Cement Association's factsheets.",
"Cement - 6-20% Fly Ash (CEM II/A-V)",Kilogram,4.90,,4.51,5.28,0.82,0.83,0.76,0.89,See material profile for further details.,
"Cement - 21-35% Fly Ash (CEM II/B-V)",Kilogram,4.07,,3.68,4.45,0.74 to 0.61,0.69,0.62,0.75,,
"Cement - 21-35% GGBS (CEM II/B-S)",Kilogram,4.49,,4.21,4.77,0.76 to 0.64,0.71,0.65,0.77,,
"Cement - 36-65% GGBS (CEM III/A)",Kilogram,3.59,,3.00,4.17,0.63 to 0.38,0.52,0.39,0.64,,
"Cement - 66-80% GGBS (CEM II/B)",Kilogram,2.68,,2.40,2.96,0.37 to 0.25,0.32,0.26,0.38,,
Fibre Cement Panels - Uncoated,Kilogram,10.40,,,,1.09,,,,Few data points. ,
Fibre Cement  Panels - (Colour) Coated,Kilogram,15.30,,,,1.28,,,,,
Mortar (1:3 cement:sand mix),Kilogram,1.33,0.91,0.10,3.49,0.208,0.221,,,"Values estimated from the ICE Cement, Mortar & Concrete Model",
Mortar (1:4),Kilogram,1.11,0.91,0.10,3.49,0.171,0.182,,,,
Mortar (1:5),Kilogram,0.97,0.91,0.10,3.49,0.146,0.156,,,,
Mortar (1:6),Kilogram,0.85,0.91,0.10,3.49,0.127,0.136,,,,
Mortar (1:½:4½ Cement:Lime:Sand mix),Kilogram,1.34,0.91,0.10,3.49,0.200,0.213,,,,
Mortar (1:1:6 Cement:Lime:Sand mix),Kilogram,1.11,0.91,0.10,3.49,0.163,0.174,,,,
Mortar (1:2:9 Cement:Lime:Sand mix),Kilogram,1.03,0.91,0.10,3.49,0.145,0.155,,,,
Cement stabilised soil @ 5%,Kilogram,0.68,0.21,0.70,1.00,0.060,0.061,,,Assumed 5% cement content.,
