Aggregate (Gravel or Crushed Rock),qudt:Kilogram,0.083,0.12,0.01,0.5,0.0048,0.0052,,,Estimated from measured UK industrial fuel consumption data,
Aluminium,qudt:Kilogram,155,104.7,8,382.7,8.24,9.16,,,Assumed  ratio of 25.6% extrusions -  55.7% Rolled & 18.7% castings. Worldwide average recycled content of 33%.,
Virgin Aluminium,qudt:Kilogram,218,68.5,39.2,382.7,11.46,12.79,,,,
Recycled Aluminium,qudt:Kilogram,29,8.7,8,42.9,1.69,1.81,,,,
Cast Aluminium,qudt:Kilogram,159,,,,8.28,9.22,,,Worldwide average recycled content of 33%.,
Virgin Cast Aluminium,qudt:Kilogram,226,,,,11.7,13.1,,,,
Recycled Cast Aluminium,qudt:Kilogram,25,,,,1.35,1.45,,,,
Extruded Aluminium,qudt:Kilogram,154,,,,8.16,9.08,,,Worldwide average recycled content of 33%.,
Virgin Extruded Aluminium,qudt:Kilogram,214,,,,11.2,12.5,,,,
Recycled Extruded Aluminium,qudt:Kilogram,34,,,,1.98,2.12,,,,
Rolled Aluminium,qudt:Kilogram,155,,,,8.26,9.18,,,Worldwide average recycled content of 33%.,
Virgin Rolled Aluminium,qudt:Kilogram,217,,,,11.5,12.8,,,,
Recycled Rolled Aluminium,qudt:Kilogram,28,,,,1.67,1.79,,,,
Asphalt -  4% (bitumen) binder content (by mass),qudt:Kilogram,2.86,11.89,0.2,50.2,0.059,0.066,,,1.68 MJ/kg Feedstock Energy (Included). Modelled from the bitumen binder content. The fuel consumption of asphalt mixing operations was taken from the Mineral Products Association (MPA). It represents typical UK industrial data. Feedstock energy is from the bitumen content. ,
Asphalt -  5% binder content,qudt:Kilogram,3.39,,,,0.064,0.071,,,2.10 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,
Asphalt -  6% binder content,qudt:Kilogram,3.93,,,,0.068,0.076,,,2.52 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,
Asphalt -  7% binder content,qudt:Kilogram,4.46,,,,0.072,0.081,,,2.94 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,
Asphalt -  8% binder content,qudt:Kilogram,5,,,,0.076,0.086,,,3.36 MJ/kg Feedstock Energy (Included). Comments from 4% mix also apply.,
Bitumen,qudt:Kilogram,51,20.21,2.4,50,0.405,0.49,0.43,0.55,42 MJ/kg Feedstock Energy  (Included).  Feedstock assumed to be typical energy content of Bitumen. Carbon dioxide emissions are particularly difficult to estimate -  range given.,
Brass,qudt:Kilogram,44,71.87,16.81,239,2.46,2.64,,,Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data -  making estimate of embodied carbon difficult.,
Virgin Brass,qudt:Kilogram,80,16.81,16.81,,4.47,4.8,,,,
Recycled Brass,qudt:Kilogram,20,20,20,,1.12,1.2,,,,
Common Brick,qudt:Kilogram,3,,,,0.23,0.24,,,,
Limestone ,qudt:Kilogram,0.85,,,,,,,,,
Bronze,qudt:Kilogram,69,10.37,62,76.67,3.73,4,,,Average of the only two references,
General Carpet,qudt:Kilogram,74,,,,3.9,,,,For per square meter estimates see material profile. Difficult to estimate -  taken from Reference.,94
General Carpet,qudt:Kilogram,90.98,62.07,3,390,,,,,,
General Carpet,qudt:SquareMeter,187,,,,9.8,,,,For per square meter estimates see material profile. Difficult to estimate -  taken from Reference.,94
Felt (Hair and Jute) Underlay Carpet,qudt:Kilogram,19,,,,0.97,,,,Ref. 94.,
Nylon (Polyamide) -  pile weight 300 g/m2 Carpet,qudt:SquareMeter,130,,,,,,,6.7,Total weight of this carpet 1 - 477 g/m2. These carpets (inc. below) are a tufted surface pile made of 100% nylon (polyamide) with a woven textile backing and flame proofed on the basis of aluminium hydroxide.,277-279
Nylon (Polyamide) -  pile weight 500 g/m2 Carpet,qudt:SquareMeter,180,,,,,,,9.7,Total weight of this carpet 1 - 837 g/m2. ,
Nylon (Polyamide) -  pile weight 700 g/m2 Carpet,qudt:SquareMeter,230,,,,,,,12.7,Total weight of this carpet 2 - 147 g/m2. ,
Nylon (Polyamide) -  pile weight 900 g/m2 Carpet,qudt:SquareMeter,277,,,,,,,15.6,Total weight of this carpet 2 - 427 g/m2. ,
Nylon (Polyamide) -  pile weight 1100 g/m2 Carpet,qudt:SquareMeter,327,,,,,,,18.4,Total weight of this carpet 2 - 677 g/m2. ,
Carpet tiles -  nylon (Polyamide) -  pile weight 300 g/m2,qudt:SquareMeter,178,,,,,,,7.75,Total weight of this carpet 4 - 123 g/m2. These carpet tiles are a tufted surface pile made of 100% nylon (polyamide) fleece-covered bitumen backing and flame-proofed on the basis of aluminium hydroxide,
Carpet tiles -  nylon (Polyamide) -  pile weight 500 g/m2,qudt:SquareMeter,229,,,,,,,10.7,Total weight of this carpet 4 - 373 g/m2.,
Carpet tiles -  nylon (Polyamide) -  pile weight 700 g/m2,qudt:SquareMeter,279,,,,,,,13.7,Total weight of this carpet 4 - 623 g/m2.,
Carpet tiles -  nylon (Polyamide) -  pile weight 900 g/m2,qudt:SquareMeter,328,,,,,,,16.7,Total weight of this carpet 4 - 873 g/m2.,
Carpet tiles -  nylon (Polyamide) -  pile weight 1100 g/m2,qudt:SquareMeter,378,,,,,,,19.7,Total weight of this carpet 5 - 123 g/m2. ,
Polyethylterepthalate (PET),qudt:SquareMeter,106.5,,,,5.56,,,,Includes feedstock energy,
Polypropylene,qudt:SquareMeter,95.4,,,,4.98,,,,Includes feedstock energy -  for per square meter see material profile,
Polyurethane,qudt:SquareMeter,72.1,,,,3.76,,,,Includes feedstock energy,
Rubber,qudt:SquareMeter,103.75,,67.5,140,5.55,,,,,
Saturated Felt Underlay (impregnated with Asphalt or tar),qudt:SquareMeter,31.7,,,,1.65,,,,,
Wool ,qudt:SquareMeter,106,,,,5.53,,,,For per square meter see material profile. ,
Cement (UK weighted average),qudt:Kilogram,4.5,2.7,0.1,14.2,0.73,0.74,,,Weighted average of all cement consumed within the UK. This includes all factory made cements (CEM I -  CEM II -  CEM III -  CEM IV) and further blending of fly ash and ground granulated blast furnace slag. This data has been estimated from the British Cement Association`s factsheets. 23% cementitious additions on average.,
Cement - Average CEM I Portland Cement -  94% Clinker,qudt:Kilogram,5.5,,,,0.93,0.95,,,This is a standard cement with no cementitious additions (i.e. fly ash or blast furnace slag). Composition 94% clinker -  5% gypsum -  1% minor additional constituents (mac`s). This data has been estimated from the British Cement Association`s factsheets.,
Cement - 6-20% Fly Ash (CEM II/A-V),qudt:Kilogram,4.9,,4.51,5.28,0.82,0.83,0.76,0.89,See material profile for further details.,
Cement - 21-35% Fly Ash (CEM II/B-V),qudt:Kilogram,4.07,,3.68,4.45,0.74 to 0.61,0.69,0.62,0.75,,
Cement - 21-35% GGBS (CEM II/B-S),qudt:Kilogram,4.49,,4.21,4.77,0.76 to 0.64,0.71,0.65,0.77,,
Cement - 36-65% GGBS (CEM III/A),qudt:Kilogram,3.59,,3,4.17,0.63 to 0.38,0.52,0.39,0.64,,
Cement - 66-80% GGBS (CEM II/B),qudt:Kilogram,2.68,,2.4,2.96,0.37 to 0.25,0.32,0.26,0.38,,
Fibre Cement Panels - Uncoated,qudt:Kilogram,10.4,,,,1.09,,,,Few data points. ,
Fibre Cement  Panels - (Colour) Coated,qudt:Kilogram,15.3,,,,1.28,,,,,
Mortar (1:3 cement:sand mix),qudt:Kilogram,1.33,0.91,0.1,3.49,0.208,0.221,,,Values estimated from the ICE Cement -  Mortar & Concrete Model,
Mortar (1:4),qudt:Kilogram,1.11,0.91,0.1,3.49,0.171,0.182,,,,
Mortar (1:5),qudt:Kilogram,0.97,0.91,0.1,3.49,0.146,0.156,,,,
Mortar (1:6),qudt:Kilogram,0.85,0.91,0.1,3.49,0.127,0.136,,,,
Mortar (1:1/2:9/2 Cement:Lime:Sand mix),qudt:Kilogram,1.34,0.91,0.1,3.49,0.2,0.213,,,,
Mortar (1:1:6 Cement:Lime:Sand mix),qudt:Kilogram,1.11,0.91,0.1,3.49,0.163,0.174,,,,
Mortar (1:2:9 Cement:Lime:Sand mix),qudt:Kilogram,1.03,0.91,0.1,3.49,0.145,0.155,,,,
Cement stabilised soil @ 5%,qudt:Kilogram,0.68,0.21,0.7,1,0.06,0.061,,,Assumed 5% cement content.,
Cement stabilised soil @ 8%,qudt:Kilogram,0.83,0.21,0.7,1,0.082,0.084,,,Assumed 8% stabiliser contents (6% cement and 2% quicklime),
Ceramics,qudt:Kilogram,10,8.04,2.5,29.07,0.66,0.7,,,Very large data range -  difficult to select values for general ceramics.  ,
Ceramic Fittings,qudt:Kilogram,20,,,,1.07,1.14,,,,
Ceramic Sanitary Products,qudt:Kilogram,29,,,,1.51,1.61,,,Limited data.,
Ceramic Tiles and Cladding Panels,qudt:Kilogram,12,,,,0.74,0.78,,,Difficult to select -  large range -  limited data. ,292
Clay (Simple Baked Products),qudt:Kilogram,3,4.12,0.02,32.4,0.23,0.24,,,General simple baked clay products (inc. terracotta and bricks),
Clay Tile,qudt:Kilogram,6.5,,,,0.45,0.48,,,,
Vitrified clay pipe DN 100 & DN 150,qudt:Kilogram,6.2,,,,0.44,0.46,,,,
Vitrified clay pipe DN 200 & DN 300,qudt:Kilogram,7,,,,0.48,0.5,,,,
Vitrified clay pipe DN 500,qudt:Kilogram,7.9,,,,0.52,0.55,,,,
Concrete,qudt:Kilogram,0.75,8.61,0.07,92.5,0.1,0.107,,,It is strongly recommended to avoid selecting a `general` value for concrete. Selecting data for a specific concrete type (often a ready mix concrete) will give greater accuracy -  please see material profile. Assumed cement content 12% by mass.,
Concrete 16/20 Mpa,qudt:Kilogram,0.7,,,,0.093,0.1,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Concrete 20/25 MPa,qudt:Kilogram,0.74,,,,0.1,0.107,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Concrete 25/30 MPa,qudt:Kilogram,0.78,,,,0.106,0.113,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Concrete 28/35 MPa,qudt:Kilogram,0.82,,,,0.112,0.12,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Concrete 32/40 MPa,qudt:Kilogram,0.88,,,,0.123,0.132,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Concrete 40/50 MPa,qudt:Kilogram,1,,,,0.141,0.151,,,Using UK weighted average cement (more representative of `typical` concrete mixtures).,
Cement - GEN 0 (6/8 MPa) (0% Fly Ash),qudt:Kilogram,0.55,,,,0.071,0.076,,,Compressive strength designation C6/8 Mpa.  28 day compressive strength under British cube method of 8 MPa -  under European cylinder method 6 MPa. Possible uses: Kerb bedding and backing. Data is only cradle to factory gate but beyond this the average delivery distance of ready mix concrete is 8.3 km by road.,
