1,A comparative Environmental Life Cycle Assessment of Modern Office Buildings,K J Eaton~ A Amato,1998,The Steel Construction Institute,1859420583,,,,,,,,,,,
2,A comparative LCA of building insulation products made of stone wool~ paper wool and flax,Anders Schmidt~ Allan Jensen,2004,,,,,,International Journal of LCA,,,,,,,
3,A Comparison of the Embodied and operational Environmental impacts of insulation in Office Buildings,Mark Lucuik,04/2005,,,,,,,,ottawa,,,,,10th Canadian Conference on Building Science and Technology
4,A decision making matrix with life cycle perspective of materials for roofs in Sri Lanka,U G Yasantha Abeysundra~ Sandhya Babel~ Shabbir Gheewala,2006,,,,,,Materials and Design, 
10.1016/j.matdes.2006.09.011,,,,,,
5,A life cycle analysis of the environmental impacts of asphalt and concrete roads,Gianni Pontarollo~ Tim Smith,2001,,,,,,IRF world road congress 2001,,,,,,,
6,A life cycle assessment and evaluation of construction and demolition waste,Amelia Craighill~ Jane Powell,1999,The Centre for Social and Economic Research on the Global Environment~ CSERGE,,,,,,,,,,,,
7,A material flow analysis and an ecological footprint of the southeast region,John Barrett,2002,,,,,,,,,Taking Stock,3,,,
8,Acrylonitrile-Butadiene-Styrene Copolymer (ABS) LCI Data Summary,I Boustead,2005,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
9,Acrylonitrile-Butadiene-Styrene Copolymer (ABS) LCI Data Summary in Excel Format,I Boustead,2005,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
10,Aluminium applications and society~ paper 1 automotive~ expanded summary,,2000,International primary aluminium institute,,,,,,,,,,,,
11,An ecological assessment of the vernacular architecture and of its embodied energy in Yunnan~ China,Wang Renping~ Cai Zhenyu,2006,,,41,, 687-697,Building and environment ,,,,,,,
12,An energy life cycle assessment model for building design,Jorn Dinesen~ Steen Traberg-Borup,1994,Danish Building research institute~ SBI,,,,,,,,,,,, Proceedings of the CIB conference on buildings and the environment
13,An environmental comparison of bridge forms,D Collings,12/2006,,,159,4,163-168,Bridge Engineering,,,,,,,
14,Approved Environmental Profile~ Manufacture of 1 tonne Ground Granulated Blastfurnace Slag,,2006,BRE,,,,,,,,,,,,
15,Assessing the environmental impact of metal production processes,T E Norgate~ S Jahanshahi~ W J Rankin,2006,,,15,,838-848,Journal of Cleaner Production,,,,,,,
16,Assessment of the automotive assembly paint process for energy~ environmental and economic improvement,Geoffrey J Roelant~ Amber J Kemppainen~ David R Shonnard,2004,,,8,1-2,,Journal of Industrial Ecology,,,,,,,
17,Assessment of the decrease of CO2 emissions in the construction field through the selection of materials: Practical case study of three houses of low environmental impact,Maria Jesus Gonzalez~ Justo Garcia Navarro,2005,,,,,,Building And Environment,,,,,,,
18,Australian LCA data - SimaPro Data,,1998,RMIT Uni~ Victoria University Australia,,,,,,,,,,,,
19,Background document for life cycle greenhouse gas emission factors for carpet and personal computers,,2003,US Environmental Protection Agency,,,,,,,,,,,,
20,Background Document for Life-Cycle Greenhouse Gas Emission Factors for Carpet and Personal Computers,,2003,US Environmental Protection Agency,,,,,,,,,,,,
21,Best Available Techniques for the Cement Industry,Cembureau,1999,cembureau,,,,,,,,,,,,
22,Birth to death analysis of the energy payback ratio and CO2 gas emission rates from coal~ fission~ wind and DT-fusion electrical power plants,Scott W White~ Gerald L Kulcinski,2000,,,48,,473-481,Fusion engineering and design ,,,,,,,
23,Building energy performance: A LCA case study of kenaf-fibres insulation board,Fulvio Ardente~ Marco Beccali~ Maurizio Cellura~ Marina Mistretta,2008,,,40,,1-10,Energy and Buildings ,,,,,,,
24,Building materials energy and the environment: Towards ecologically sustainable development,Bill Lawson,1996,The Royal Australian Institute of Architects,1863180230,,,,,,,,,,,
25,Building Research Establishment (BRE) environmental profiles - Clay tiles,,1996,Building Research Establishment~ BRE,,,,,,,,,,,,
26,Building Research Establishment (BRE) Environmental profiles - Glass wool,,1999,Building Research Establishment (BRE),,,,,,,,,,,,
27,Building Research Establishment (BRE) environmental profiles - UK kiln dried timber (softwood),,1996,Building Research Establishment~ BRE,,,,,,,,,,,,
28,Building the Environmental Performance of UK Forest Products into Construction,J S Mundy~ P W Bonfield,2000,BRE,,,,,,,,,,,,
29,Bulk polymerised PVC LCI Data Summary,I Boustead,1999,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
30,Bulk polymerised PVC LCI Data Summary in Excel,I Boustead,1999,APME~ Association of Plastics Manufacturers in Europe,,,,,,,,,,,,
