direction,group,receiving_environment,name_text,amount_unit,amount_parameter_value,data_collection_
input,raw material,technosphere,Dredged sand,qudt:Kilogram,33
input,raw material,technosphere,Crushed Quartz,qudt:Kilogram,569
input,raw material,technosphere,Limestone,qudt:Kilogram,160
input,raw material,technosphere,Soda Ash,qudt:Kilogram,195
input,raw material,technosphere,Syenite,qudt:Kilogram,52
input,raw material,technosphere,Saltcake,qudt:Kilogram,5
input,raw material,technosphere,Cullet,qudt:Kilogram,143
input,raw material,technosphere,Selenium,qudt:Kilogram,0.02
input,raw material,technosphere,Detergent,qudt:Kilogram,0.05
input,raw material,technosphere,Carbocite,qudt:Kilogram,0.28
input,raw material,technosphere,Cobalt Oxide,qudt:Kilogram,0.0000091
input,energy,,Coal,MJ,381
input,energy,,Petroleum,MJ,2130
input,energy,,Natural gas,MJ,10700
input,energy,,Nuclear,MJ,285
input,energy,,Feedstock,MJ,17
input,raw material,,Fuel related water,qudt:Liter,29
input,raw material,,Process related water,qudt:Liter,744
output,emission,air,Carbon dioxide,qudt:Kilogram,630
output,emission,air,Carbon monoxide,qudt:Kilogram,256
output,emission,air,Sulphur oxides (reported as SO2),qudt:Kilogram,4.37
output,emission,air,Nitrogen oxides (reported as NO2),qudt:Kilogram,2.73
output,emission,air,Methane,qudt:Kilogram,1.11
output,emission,air,Dust & particles (includes metals),qudt:Kilogram,0.892,Total of Metals and metal compounds and PM10
output,emission,air,Acid gases,qudt:Kilogram,0.0596
output,emission,air,NMHC (non-methane hydrocarbons),qudt:Kilogram,0.236
output,emission,water,Phosphates and ammonia,qudt:Kilogram,0.00149
output,emission,water,Oils and greases,qudt:Kilogram,0.00394
output,emission,water,Suspended solids,qudt:Kilogram,0.0326
output,emission,water,Other organics,qudt:Kilogram,0.0000148
output,emission,water,Heavy Metals,qudt:Kilogram,0.325
output,emission,water,BOD,qudt:Kilogram,0.00689
output,emission,water,COD,qudt:Kilogram,0.058
output,emission,water,Dissolved solids,qudt:Kilogram,0.823
output,emission,land,Process related wastes,qudt:Kilogram,64.2
output,emission,land,Municipal wastes,qudt:Kilogram,0.43
